user_id,zone_date,zone_score,zone_focus,zone_calm,zone_posture,create_date,update_date
tamabi001,2016/05/17 18:34:00,,44,23,88,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:35:00,,14,17,86,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:36:00,,16,62,52,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:37:00,,45,52,28,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:38:00,,99,60,51,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:39:00,,78,82,43,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:40:00,,65,52,37,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:41:00,,53,43,62,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:42:00,,75,79,77,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:43:00,,93,62,52,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:44:00,,31,1,67,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:45:00,,96,0,50,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:46:00,,100,0,70,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:47:00,,100,0,73,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:48:00,,100,0,83,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:49:00,,100,0,83,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:50:00,,86,0,91,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:51:00,,74,17,78,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:52:00,,24,34,71,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:53:00,,25,77,66,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:54:00,,40,48,36,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:55:00,,43,23,59,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:56:00,,20,11,56,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:57:00,,44,2,52,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:58:00,,42,9,58,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 18:59:00,,19,11,68,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 19:00:00,,46,0,61,2016/05/17 19:23:30,2016/05/17 19:23:30
tamabi001,2016/05/17 19:01:00,,98,0,50,2016/05/17 19:23:30,2016/05/17 19:23:30
